Q3A,Q5A,Q10A,Q13A,Q16A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,score,label
1,2,4,3,2,4,4,4,2,3,4,4,4,41,high
2,2,2,2,1,3,2,2,2,2,3,2,3,28,high
3,2,3,4,3,2,3,3,2,2,2,3,3,35,high
1,2,1,1,2,1,1,2,1,1,1,1,2,17,moderate
1,1,1,1,1,1,2,1,1,1,1,1,1,14,moderate
3,4,3,3,3,3,4,4,3,2,3,4,4,43,high
2,2,1,2,2,2,1,1,2,4,1,2,4,26,high
2,3,3,2,2,2,3,3,3,2,3,3,3,34,high
1,3,2,2,2,2,2,2,4,1,1,2,1,25,high
3,3,3,4,2,3,3,3,3,4,3,2,3,39,high
1,1,1,2,2,1,1,3,1,2,1,1,1,18,moderate
4,3,3,4,3,4,3,4,4,4,2,4,2,44,high
4,3,1,4,2,3,3,3,2,3,2,2,4,36,high
1,2,1,2,2,2,2,1,2,2,1,1,4,23,high
3,4,4,4,4,4,3,4,4,3,4,4,4,49,high
4,3,3,4,3,3,3,4,3,4,3,3,4,44,high
3,3,3,3,4,4,3,2,3,4,3,4,4,43,high
1,3,2,2,1,3,2,2,1,3,1,2,3,26,high
1,1,1,1,1,1,1,1,2,1,1,1,2,15,moderate
4,4,4,4,4,3,4,4,4,3,4,4,4,50,high
1,2,1,1,1,1,1,2,1,1,1,1,2,16,moderate
2,2,3,2,2,1,2,1,2,1,2,1,4,25,high
4,4,4,4,4,4,2,4,4,4,4,3,4,49,high
1,3,2,2,1,1,1,1,1,1,1,1,3,19,moderate
1,2,2,1,2,1,1,1,1,1,1,1,2,17,moderate
3,3,2,4,2,1,2,4,1,2,1,1,2,28,high
3,4,4,3,3,4,3,3,2,3,4,4,3,43,high
2,2,2,2,1,1,2,1,2,1,1,1,3,21,high
4,4,1,3,2,1,3,1,4,2,1,1,4,31,high
2,3,3,4,3,2,3,3,3,3,2,2,4,37,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
2,3,3,3,2,3,2,3,2,3,3,3,4,36,high
3,4,4,4,4,3,4,3,4,4,4,4,4,49,high
1,2,1,1,1,1,2,1,3,1,1,1,2,18,moderate
2,2,1,2,1,1,2,2,1,1,1,1,2,19,moderate
3,2,4,3,3,4,2,3,2,4,4,4,3,41,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
2,3,2,2,3,2,2,2,2,2,2,2,3,29,high
1,4,1,4,2,1,2,4,1,1,1,1,4,27,high
4,2,2,4,3,4,2,3,2,4,3,3,4,40,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
2,2,2,2,2,1,2,2,3,2,2,2,3,27,high
3,4,4,4,3,4,4,4,4,4,4,4,4,50,high
2,3,3,3,2,2,2,2,2,2,1,2,3,29,high
1,3,1,1,1,1,1,1,1,1,1,1,3,17,moderate
2,4,1,2,2,2,2,2,2,4,1,3,4,31,high
2,3,1,3,2,1,2,2,1,2,1,1,4,25,high
1,2,2,1,3,1,2,1,1,1,1,1,3,20,moderate
4,4,3,4,3,4,4,3,4,3,4,4,4,48,high
2,3,2,4,2,3,3,3,3,3,3,3,3,37,high
3,3,3,3,4,4,2,3,3,4,3,4,4,43,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
3,4,4,4,4,4,4,4,4,4,4,4,4,51,high
1,1,2,1,1,1,2,2,1,1,1,1,1,16,moderate
2,2,2,3,2,2,2,2,2,2,3,2,4,30,high
2,2,2,1,3,4,2,1,2,3,2,4,2,30,high
1,4,1,2,1,1,1,2,1,1,1,1,4,21,high
4,4,4,4,4,3,4,4,4,3,4,4,4,50,high
2,4,3,4,4,4,3,1,4,3,4,4,3,43,high
2,3,3,4,2,3,3,3,2,3,2,3,4,37,high
2,3,1,3,3,2,3,4,3,2,3,2,4,35,high
3,3,1,4,3,3,3,4,3,4,3,3,4,41,high
2,4,4,3,2,3,2,4,2,3,3,3,4,39,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
1,1,1,1,1,1,1,1,1,1,1,1,2,14,moderate
2,1,1,2,3,1,2,2,3,1,1,2,1,22,high
1,1,1,1,1,1,1,1,1,1,1,1,2,14,moderate
3,4,3,2,4,3,4,3,3,1,2,2,4,38,high
2,4,1,2,2,1,1,1,2,2,1,1,4,24,high
2,4,1,2,1,2,1,2,1,1,2,1,4,24,high
2,3,1,2,4,1,2,3,3,2,2,1,4,30,high
2,3,2,4,2,3,2,4,2,2,2,3,3,34,high
1,1,2,1,1,1,1,1,1,1,1,1,1,14,moderate
3,3,4,4,2,3,4,3,3,4,3,2,3,41,high
3,4,4,4,4,4,3,3,4,4,4,4,4,49,high
2,4,4,4,3,4,2,4,4,4,4,4,4,47,high
3,4,4,4,4,4,4,3,4,4,4,4,4,50,high
2,2,3,4,2,2,4,3,3,2,2,2,3,34,high
2,2,2,2,2,1,2,1,2,1,2,2,2,23,high
2,3,2,3,2,2,2,2,3,2,2,2,3,30,high
1,1,2,2,2,2,1,2,1,1,1,2,2,20,moderate
3,3,4,4,4,2,4,4,4,2,4,3,4,45,high
1,3,1,4,1,1,1,4,1,1,2,1,2,23,high
3,3,4,4,3,4,3,3,3,3,3,3,4,43,high
2,4,3,4,4,3,4,4,4,3,4,4,3,46,high
4,4,4,4,3,4,2,4,3,4,4,4,3,47,high
3,4,4,4,4,4,4,4,4,4,4,4,4,51,high
3,3,4,3,3,4,3,2,3,3,4,4,4,43,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
2,2,2,2,2,4,3,4,3,4,2,3,3,36,high
2,4,4,4,3,2,4,4,4,3,3,2,4,43,high
1,3,1,3,1,1,2,3,2,2,1,2,2,24,high
4,3,1,3,4,4,4,4,4,2,1,3,3,40,high
3,4,3,3,3,3,3,3,3,2,2,2,4,38,high
3,2,4,4,4,4,3,4,2,4,4,4,4,46,high
2,1,1,2,1,1,1,2,2,1,1,1,2,18,moderate
2,1,2,2,2,1,1,1,2,1,1,1,3,20,moderate
2,2,3,4,3,3,3,3,2,3,2,3,3,36,high
1,2,1,1,1,1,1,1,1,1,2,1,2,16,moderate
1,3,4,4,4,4,1,4,4,4,3,4,3,43,high
3,2,2,3,4,3,4,3,4,3,2,3,3,39,high
3,4,4,4,2,4,1,4,2,3,4,4,3,42,high
2,2,2,3,2,3,2,3,2,2,2,2,3,30,high
1,1,2,2,1,2,1,2,1,2,1,2,1,19,moderate
4,4,4,4,4,4,4,3,4,4,4,4,4,51,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,2,1,2,1,1,1,2,1,2,1,1,2,18,moderate
1,4,3,3,1,1,1,2,3,3,2,1,4,29,high
1,2,1,1,1,1,1,1,1,1,1,1,1,14,moderate
2,2,4,2,1,1,1,3,2,2,1,2,2,25,high
1,3,2,2,2,2,2,2,2,2,2,2,3,27,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,2,2,2,2,1,2,2,2,2,1,1,2,22,high
1,1,1,2,3,1,2,3,2,1,1,2,3,23,high
1,1,3,1,2,1,1,3,1,3,1,1,3,22,high
2,2,2,1,2,2,2,1,2,2,3,2,2,25,high
2,3,1,2,1,1,2,2,1,2,2,1,3,23,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,1,1,2,3,3,1,3,1,4,1,3,1,25,high
2,3,2,3,2,3,2,2,3,2,2,3,2,31,high
2,1,1,1,1,1,2,1,1,1,1,1,1,15,moderate
1,1,2,2,2,1,2,3,3,1,1,2,2,23,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,1,1,1,2,1,1,2,2,1,1,1,2,17,moderate
3,1,1,2,1,2,2,2,1,2,1,2,3,23,high
1,3,4,4,3,3,3,3,2,3,4,4,2,39,high
1,3,2,3,2,2,2,3,2,2,1,1,3,27,high
3,4,3,2,3,2,2,4,3,4,3,2,3,38,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
1,2,2,1,1,2,1,2,1,1,1,1,3,19,moderate
2,2,2,4,3,1,2,3,3,1,3,2,3,31,high
4,3,4,4,3,4,4,4,4,4,3,4,4,49,high
1,1,1,1,1,1,1,1,1,1,1,1,2,14,moderate
4,3,4,4,3,1,4,3,4,4,3,1,3,41,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
3,4,2,2,4,3,3,2,1,2,2,2,2,32,high
2,3,3,3,2,3,3,3,2,2,3,4,4,37,high
2,3,2,2,3,3,3,2,2,2,2,3,3,32,high
4,2,2,2,2,2,2,2,4,4,2,2,2,32,high
4,4,4,4,4,2,4,4,4,4,2,2,4,46,high
2,3,3,2,1,2,3,1,3,2,2,2,2,28,high
1,2,1,2,1,1,2,2,1,2,1,1,2,19,moderate
3,2,2,4,3,3,3,4,3,4,2,2,3,38,high
3,2,2,4,3,2,3,2,3,4,1,2,3,34,high
1,1,1,1,1,1,1,1,1,1,1,1,2,14,moderate
1,2,1,1,2,3,2,1,2,2,1,3,4,25,high
4,4,1,4,3,4,3,4,4,1,4,4,3,43,high
4,2,4,4,4,4,4,4,3,4,4,4,4,49,high
1,1,2,2,2,1,1,2,1,3,1,1,3,21,high
1,3,2,1,2,1,2,2,1,1,1,1,2,20,moderate
2,2,1,4,2,2,2,4,2,3,1,2,3,30,high
2,3,2,2,2,1,2,2,2,2,1,1,3,25,high
3,4,4,4,4,4,4,4,4,4,4,4,4,51,high
2,2,2,2,1,2,1,3,1,2,2,1,2,23,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
4,4,4,4,4,4,2,4,4,4,4,4,4,50,high
4,4,4,4,3,4,4,4,3,2,4,2,4,46,high
4,2,4,4,4,4,4,4,4,4,4,4,4,50,high
2,2,2,2,2,2,2,3,2,2,2,2,2,27,high
1,2,2,2,2,1,2,2,3,2,1,2,1,23,high
2,2,2,2,2,2,2,2,2,2,2,1,2,25,high
1,2,1,2,1,1,1,2,2,2,1,1,3,20,moderate
3,4,4,4,3,3,3,4,3,4,4,2,4,45,high
2,4,4,3,3,3,4,3,4,4,4,3,4,45,high
4,4,2,4,3,3,3,3,2,3,2,3,3,39,high
1,2,1,1,1,1,1,1,1,1,1,1,1,14,moderate
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
3,2,3,3,2,4,2,4,2,4,4,4,2,39,high
2,4,2,2,2,1,3,3,3,2,2,2,4,32,high
1,3,2,3,2,1,1,2,2,2,1,1,3,24,high
4,3,3,3,4,4,3,3,2,3,3,4,3,42,high
2,2,3,2,2,2,1,1,1,2,2,2,2,24,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
1,2,1,2,3,1,2,2,3,2,4,1,1,25,high
2,2,2,2,2,2,3,2,3,2,2,2,4,30,high
2,2,2,3,2,2,2,3,1,2,2,2,2,27,high
1,2,2,2,2,1,1,2,2,2,1,1,4,23,high
1,1,1,3,1,1,1,2,1,1,1,1,1,16,moderate
2,2,2,2,2,2,2,3,2,2,2,2,2,27,high
4,4,4,3,4,2,4,3,3,2,4,2,4,43,high
2,3,2,3,3,3,2,3,2,2,3,2,3,33,high
2,3,2,3,3,3,3,2,3,2,3,2,3,34,high
1,3,1,1,1,1,1,2,1,1,1,1,2,17,moderate
2,2,2,2,2,2,2,1,2,3,3,2,2,27,high
3,3,4,4,3,4,2,4,2,4,4,4,4,45,high
1,3,3,4,3,4,4,4,2,3,4,3,3,41,high
4,4,4,4,4,4,4,4,4,1,4,4,4,49,high
2,2,2,3,3,2,2,3,2,3,3,3,2,32,high
4,1,3,4,2,4,3,4,2,4,2,4,1,38,high
3,4,4,4,4,4,4,4,3,4,4,4,4,50,high
3,3,4,4,3,4,4,4,3,4,4,4,3,47,high
1,1,1,1,2,1,1,1,1,1,1,1,2,15,moderate
1,4,1,2,1,1,3,2,1,2,1,2,4,25,high
3,4,4,4,4,4,3,4,4,4,4,4,4,50,high
1,1,4,1,3,1,3,2,3,1,2,2,2,26,high
3,3,4,4,4,3,3,4,3,4,4,4,4,47,high
2,2,3,3,3,1,2,3,3,3,2,2,2,31,high
3,2,1,3,2,2,2,3,2,3,2,2,2,29,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
2,2,4,1,4,4,4,2,4,3,4,4,2,40,high
2,2,1,2,2,1,2,2,3,1,2,2,3,25,high
3,3,3,3,3,3,3,3,3,3,3,3,3,39,high
1,2,2,2,1,1,2,2,1,1,2,2,3,22,high
4,3,4,4,4,4,4,4,4,4,4,4,4,51,high
3,3,4,4,4,4,4,3,4,4,3,4,4,48,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,3,1,2,2,1,3,3,2,4,2,2,3,29,high
1,1,1,1,1,1,1,1,1,1,1,1,4,16,moderate
2,4,4,4,2,4,2,4,2,4,4,4,4,44,high
2,1,2,3,2,2,3,1,2,2,2,2,2,26,high
2,3,4,2,4,3,3,2,2,3,4,3,4,39,high
2,1,1,3,2,3,1,2,3,2,2,1,3,26,high
1,3,2,4,2,1,1,1,1,1,1,4,2,24,high
3,4,4,2,3,3,2,3,4,4,4,4,3,43,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,1,1,2,2,2,1,2,1,2,1,1,2,19,moderate
2,4,3,3,4,4,4,3,3,4,4,3,4,45,high
4,2,2,4,2,3,2,2,3,2,4,3,2,35,high
1,2,1,2,1,2,1,1,1,1,1,2,1,17,moderate
1,3,4,2,1,4,2,4,2,2,2,3,3,33,high
3,3,3,3,3,3,3,3,3,3,3,3,3,39,high
3,3,3,4,3,4,3,3,3,4,4,4,4,45,high
1,2,1,2,1,1,1,1,2,1,1,1,2,17,moderate
1,2,1,2,2,2,2,1,1,1,2,1,2,20,moderate
2,2,1,2,1,2,1,3,1,2,1,2,1,21,high
2,3,4,3,3,3,2,2,3,4,3,4,1,37,high
4,4,4,4,4,4,4,4,4,4,3,4,4,51,high
1,2,1,1,1,1,2,1,1,1,1,1,2,16,moderate
2,2,2,2,2,2,2,2,2,2,2,2,2,26,high
1,3,2,4,2,1,2,2,2,2,2,1,4,28,high
1,3,2,1,4,1,4,2,1,2,1,1,4,27,high
2,2,2,3,3,2,1,3,2,2,3,1,3,29,high
4,2,2,2,2,2,4,1,2,2,3,2,4,32,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
2,3,1,3,3,3,3,3,2,3,2,3,2,33,high
3,3,4,3,4,3,3,3,3,3,4,4,4,44,high
4,2,4,4,4,4,3,4,4,4,4,4,4,49,high
1,1,1,2,2,1,1,1,1,1,1,1,1,15,moderate
3,3,4,2,4,4,3,2,4,4,4,4,4,45,high
4,3,2,4,3,1,3,4,4,2,3,2,4,39,high
3,1,2,3,4,2,3,3,3,2,2,3,3,34,high
3,3,3,3,2,1,3,2,3,2,2,2,4,33,high
4,3,2,2,2,3,2,2,4,3,4,3,3,37,high
2,1,1,2,1,1,3,1,2,1,1,1,3,20,moderate
3,3,4,3,3,4,2,2,2,4,3,4,2,39,high
1,2,1,2,1,1,1,2,1,1,2,1,2,18,moderate
4,4,3,4,4,4,4,4,3,4,4,3,4,49,high
2,2,2,2,3,2,2,1,2,2,2,1,2,25,high
1,3,2,1,4,1,2,1,3,1,3,2,3,27,high
2,2,3,1,2,2,3,1,2,2,2,3,2,27,high
3,2,4,2,3,4,3,1,2,4,4,4,2,38,high
1,2,2,1,2,1,2,1,2,1,1,1,2,19,moderate
4,3,4,4,4,3,4,3,4,4,3,4,3,47,high
4,4,4,4,4,4,4,3,4,4,4,4,4,51,high
2,4,1,1,2,1,2,2,2,1,1,1,4,24,high
2,4,2,3,3,2,3,3,4,2,2,3,3,36,high
2,4,2,3,3,2,3,3,3,3,2,2,3,35,high
2,3,3,2,2,2,3,2,2,2,3,2,2,30,high
1,1,1,2,1,1,1,1,1,2,1,1,2,16,moderate
2,2,2,2,2,2,3,2,2,2,3,2,2,28,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
4,4,2,2,2,3,3,2,4,2,4,3,3,38,high
2,3,2,2,1,2,2,2,1,1,2,2,2,24,high
2,3,4,3,2,1,2,4,2,2,1,1,3,30,high
3,4,4,4,4,4,4,4,4,4,4,4,4,51,high
3,3,3,3,3,3,3,3,3,3,3,3,3,39,high
3,3,4,4,3,4,4,4,3,4,4,4,2,46,high
2,2,2,3,2,4,2,3,2,2,2,3,2,31,high
2,3,3,3,3,3,3,3,3,3,2,2,4,37,high
3,3,3,2,2,2,3,2,3,4,2,1,3,33,high
2,4,2,3,2,2,2,3,2,3,1,1,2,29,high
2,3,2,3,2,2,2,3,2,2,2,2,3,30,high
1,1,1,2,2,2,2,3,2,2,1,1,2,22,high
1,3,2,3,1,2,2,3,1,3,2,3,1,27,high
1,2,1,2,2,2,1,3,1,1,2,3,3,24,high
1,2,1,3,1,4,1,2,1,1,4,4,3,28,high
3,4,3,3,4,3,3,3,4,3,3,3,4,43,high
4,4,4,4,4,4,4,4,4,4,4,4,3,51,high
2,3,4,4,2,2,2,2,2,4,3,4,4,38,high
3,2,1,3,2,2,2,2,2,2,1,2,2,26,high
3,4,3,4,3,3,3,3,3,2,3,3,3,40,high
3,3,2,2,2,1,3,3,2,2,2,1,4,30,high
1,2,1,1,2,1,2,1,1,2,1,1,3,19,moderate
1,3,1,2,1,1,1,2,2,3,1,1,2,21,high
2,3,3,3,3,3,3,2,2,3,3,3,3,36,high
2,1,2,1,1,1,1,1,1,1,1,1,1,15,moderate
3,3,4,4,4,4,3,4,3,3,4,4,2,45,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
2,3,1,3,2,2,2,3,2,2,1,2,4,29,high
1,2,2,2,1,2,2,2,2,2,2,2,2,24,high
2,4,3,2,4,2,2,2,2,2,3,1,4,33,high
1,1,1,2,1,2,1,1,1,3,1,1,1,17,moderate
3,3,3,3,3,4,3,3,3,4,3,3,4,42,high
1,1,4,3,1,3,2,3,2,3,3,3,4,33,high
1,1,1,2,1,1,1,2,1,2,2,1,2,18,moderate
3,3,2,3,3,3,4,3,2,3,3,3,4,39,high
4,3,2,4,1,2,4,2,4,1,2,2,2,33,high
4,4,4,4,4,3,4,4,4,3,1,3,4,46,high
2,2,1,2,2,1,2,3,1,2,1,1,2,22,high
4,4,4,4,3,4,4,4,4,4,4,4,4,51,high
3,3,2,4,3,3,4,3,2,4,2,3,3,39,high
3,2,1,2,2,1,2,2,2,2,2,2,2,25,high
3,1,4,2,4,4,4,3,2,3,4,4,2,40,high
3,3,4,3,3,4,3,2,3,1,4,4,4,41,high
1,3,1,3,1,2,2,3,2,2,2,2,2,26,high
1,2,1,1,1,1,2,1,3,1,1,1,2,18,moderate
1,4,3,2,2,1,4,1,2,1,1,1,3,26,high
3,2,2,3,2,2,1,3,2,3,1,2,3,29,high
3,4,3,4,3,1,3,3,3,4,3,4,4,42,high
3,3,3,4,4,3,4,4,4,3,4,3,4,46,high
4,4,4,4,4,3,3,4,4,3,3,4,4,48,high
1,2,1,2,1,1,1,2,1,1,1,1,2,17,moderate
2,3,3,3,4,3,2,2,2,3,3,2,3,35,high
3,2,4,4,4,4,2,3,3,3,3,4,4,43,high
1,1,1,1,1,1,2,1,1,1,1,1,2,15,moderate
4,3,4,4,3,3,3,3,4,3,4,3,4,45,high
3,1,2,3,2,3,1,2,2,3,4,3,3,32,high
4,3,4,4,4,4,4,4,4,4,3,4,3,49,high
1,3,1,2,1,1,1,2,1,1,1,1,3,19,moderate
1,4,1,1,1,1,2,3,1,1,2,1,3,22,high
2,3,3,2,2,2,3,2,2,3,2,3,3,32,high
3,3,4,4,3,2,3,4,4,2,2,3,4,41,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,1,2,3,2,1,1,2,2,3,1,3,1,23,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
1,3,1,2,1,1,2,2,2,2,1,1,3,22,high
1,2,1,1,4,4,1,1,1,2,2,4,2,26,high
1,2,1,1,2,1,1,1,2,1,1,1,3,18,moderate
1,2,1,1,1,1,1,2,1,1,2,1,2,17,moderate
2,4,4,2,4,3,4,2,3,2,4,2,4,40,high
3,3,4,2,3,4,2,4,3,4,2,4,4,42,high
2,4,2,2,2,2,3,3,3,2,3,1,4,33,high
2,1,1,1,2,1,1,2,2,1,1,1,3,19,moderate
1,1,1,2,1,1,1,2,2,3,1,2,1,19,moderate
1,1,2,2,2,2,3,3,2,1,2,2,2,25,high
1,1,1,3,1,1,2,2,2,3,1,2,2,22,high
3,3,3,3,4,4,3,4,4,2,4,4,2,43,high
1,1,1,2,1,1,1,1,1,1,1,1,1,14,moderate
3,2,2,3,2,3,2,3,2,2,2,2,2,30,high
2,3,2,3,1,1,2,3,2,3,2,1,3,28,high
2,3,2,3,3,2,2,3,2,2,1,2,2,29,high
3,4,3,4,4,4,4,3,4,3,3,4,4,47,high
1,4,2,3,2,1,1,3,3,2,1,2,4,29,high
3,3,4,4,2,2,2,3,2,4,4,2,3,38,high
1,2,1,2,1,1,1,2,1,1,1,1,2,17,moderate
3,4,3,4,4,2,2,4,3,3,2,3,4,41,high
4,4,4,4,4,4,3,4,4,4,4,4,4,51,high
1,4,1,2,2,1,1,1,1,1,1,1,3,20,moderate
1,4,1,1,3,1,1,1,1,1,1,1,4,21,high
3,2,4,3,2,4,4,4,4,3,4,4,3,44,high
4,2,4,4,4,4,4,4,4,4,4,4,4,50,high
2,3,3,2,1,3,1,2,2,4,2,2,4,31,high
3,2,4,4,3,4,4,4,4,4,4,4,4,48,high
4,3,4,2,2,1,2,3,1,3,4,1,2,32,high
2,4,1,3,2,1,4,4,3,1,2,1,2,30,high
3,3,2,4,2,3,1,4,3,3,4,2,4,38,high
2,2,2,2,2,2,2,1,2,2,3,2,1,25,high
1,2,1,2,1,1,2,1,1,1,1,1,3,18,moderate
3,4,3,4,4,4,3,4,4,3,3,4,4,47,high
2,4,2,3,2,1,2,4,3,2,2,2,4,33,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
3,3,2,3,3,3,2,2,2,3,1,3,2,32,high
4,4,4,4,3,4,3,4,2,4,4,4,4,48,high
1,2,1,1,1,1,1,2,2,1,1,1,4,19,moderate
4,2,2,4,4,3,4,4,4,4,2,3,3,43,high
3,4,4,4,4,4,2,4,3,4,4,4,4,48,high
3,4,4,4,4,4,3,3,3,4,3,4,3,46,high
2,4,3,3,4,4,3,2,3,2,2,2,2,36,high
1,2,1,1,2,1,3,3,2,1,1,1,3,22,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
2,3,3,3,3,3,2,3,2,3,3,3,4,37,high
1,1,1,1,1,1,1,1,1,1,1,1,1,13,low
3,3,3,3,3,3,3,4,2,2,3,4,3,39,high
2,2,1,3,1,1,1,3,2,1,1,1,3,22,high
2,1,4,3,4,3,3,2,3,2,4,4,1,36,high
3,3,3,3,3,3,3,3,3,3,3,3,3,39,high
2,1,1,2,2,1,2,3,1,1,1,2,3,22,high
2,2,3,2,4,2,2,2,3,2,4,2,4,34,high
1,2,2,2,2,3,2,2,2,2,1,2,2,25,high
1,1,1,3,1,1,1,2,1,1,1,1,1,16,moderate
2,2,3,2,2,3,2,3,2,2,2,3,3,31,high
3,4,3,4,4,3,3,4,3,3,3,4,4,45,high
3,3,2,4,2,4,3,4,3,2,3,4,4,41,high
2,3,4,3,3,3,2,2,2,3,3,4,3,37,high
2,4,2,3,2,4,2,2,2,2,2,4,4,35,high
4,4,3,4,2,2,4,4,2,2,2,2,4,39,high
2,2,1,1,2,1,3,2,2,1,1,2,3,23,high
1,3,2,3,2,2,2,3,2,1,2,3,3,29,high
4,4,4,4,4,4,4,4,4,4,4,4,4,52,high
3,3,3,3,3,2,2,2,2,2,2,2,2,31,high
1,3,2,2,1,1,2,1,1,1,2,2,2,21,high
2,4,4,4,4,3,4,4,2,2,2,2,4,41,high
1,1,1,1,2,1,1,3,2,2,1,1,1,18,moderate
1,1,2,2,1,1,1,1,1,1,1,1,2,16,moderate
1,1,1,2,1,1,1,1,1,1,2,1,1,15,moderate
2,3,4,3,3,3,4,3,3,3,4,2,3,40,high
4,3,4,4,3,4,4,3,3,4,3,3,4,46,high
2,1,1,1,2,3,1,2,1,2,2,4,1,23,high
4,2,3,3,4,2,3,3,4,3,4,3,2,40,high
1,4,2,2,2,1,3,2,2,1,1,1,3,25,high
1,1,1,1,2,1,4,1,1,1,1,1,2,18,moderate
2,2,2,2,2,1,2,2,2,2,2,1,2,24,high
2,3,2,2,3,1,3,4,3,1,2,4,3,33,high
4,4,4,4,3,4,3,4,4,4,4,4,4,50,high
2,3,3,3,4,3,3,4,2,4,4,3,4,42,high
1,1,1,2,3,1,2,1,1,1,1,1,2,18,moderate
2,3,3,3,3,4,2,4,2,3,3,3,2,37,high
4,3,4,4,4,3,4,4,4,4,3,3,4,48,high
1,4,2,2,3,1,3,2,4,1,1,1,4,29,high
1,1,1,1,1,2,3,1,2,1,1,1,1,17,moderate
1,1,1,2,1,1,2,1,1,1,1,1,1,15,moderate
2,3,3,2,2,1,3,1,3,3,3,2,3,31,high
2,2,4,4,3,4,2,4,2,3,3,3,3,39,high
3,3,1,3,1,2,1,2,1,1,1,2,2,23,high
1,1,1,1,1,1,1,1,1,1,1,1,2,14,moderate
2,3,2,3,2,3,1,3,1,4,2,4,3,33,high
3,3,4,4,3,4,2,3,3,3,4,4,4,44,high
2,3,4,2,1,3,1,3,1,4,4,3,2,33,high
2,2,3,3,2,2,3,3,4,2,2,2,4,34,high
